16,21
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,5
5,6,5,5,5,6,5,5,5,6,5,6,5,5,5,6,5,5,5,6,5
5,6,5,5,5,6,5,5,5,6,5,6,5,5,5,6,5,5,5,6,5
5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
5,6,5,5,5,6,5,6,5,5,5,5,5,6,5,6,5,5,5,6,5
5,6,6,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,6,6,5
5,5,5,5,5,6,5,5,5,6,5,6,5,5,5,6,5,5,5,5,5
5,5,5,5,5,6,5,6,6,6,6,6,6,6,5,6,5,5,5,5,5
5,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,5
5,5,5,5,5,6,5,6,6,6,1,6,6,6,5,6,5,5,5,5,5
5,5,5,5,5,6,5,6,5,5,5,5,5,6,5,6,5,5,5,5,5
5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5
5,6,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,4,5
5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5

